Time, Quadrant Number, Ball Colour, Type
1720447810.4388533, 2, Yellow, Entry
1720447811.356892, 2, Yellow, Entry
1720447812.2662003, 2, Yellow, Entry
1720447813.2757914, 2, Yellow, Entry
1720447814.17309, 2, Yellow, Entry
1720447815.0637097, 2, Yellow, Entry
1720447816.0169115, 2, Yellow, Entry
1720447816.9760156, 2, Yellow, Entry
1720447817.853555, 2, Yellow, Entry
1720447818.745603, 2, Yellow, Entry
1720447819.9575293, 2, Yellow, Entry
1720447821.3896205, 2, Yellow, Entry
1720447822.9464147, 2, Yellow, Entry
1720447824.7060952, 2, Yellow, Entry
1720447826.1128871, 2, Yellow, Entry
1720447827.3739882, 2, Yellow, Entry
1720447828.5756066, 2, Yellow, Entry
1720447829.9939559, 2, Yellow, Entry
1720447831.3220985, 2, Yellow, Entry
1720447832.454114, 2, Yellow, Entry
1720447833.3995934, 2, Yellow, Entry
1720447834.3456688, 2, Yellow, Entry
1720447835.3691115, 2, Yellow, Entry
1720447836.2889972, 2, Yellow, Entry
1720447837.957673, 2, Yellow, Entry
1720447839.4012852, 2, Yellow, Entry
1720447842.1158485, 2, Yellow, Entry
1720447844.2385917, 2, Yellow, Entry
1720447845.1468349, 2, Yellow, Entry
1720447846.0988412, 2, Yellow, Entry
1720447847.0387945, 2, Yellow, Entry
1720447848.0457973, 2, Yellow, Entry
1720447849.0667274, 2, Yellow, Entry
1720447854.1757872, 3, Green, Entry
1720447880.497573, 3, Yellow, Entry
1720447882.680203, 3, Green, Entry
1720447893.1372209, 2, Yellow, Entry
1720447895.1414936, 2, Yellow, Entry
1720447897.1399562, 2, Yellow, Entry
1720447899.2028432, 2, Yellow, Entry
1720447900.2855706, 2, Yellow, Entry
1720447901.517326, 2, Yellow, Entry
1720447906.8955445, 2, Unknown, Entry
1720447908.0136888, 2, Unknown, Entry
1720447924.8758342, 2, Yellow, Entry
1720447926.5653863, 2, Yellow, Entry
1720447928.04766, 2, Yellow, Entry
1720447929.8124986, 2, Yellow, Entry
1720447931.293817, 2, Yellow, Entry
1720447938.337127, 2, Yellow, Entry
1720447939.3116171, 2, Yellow, Entry
1720447940.3945615, 2, Yellow, Entry
1720447941.2501948, 2, Yellow, Entry
1720447942.1131864, 2, Yellow, Entry
1720447943.95776, 2, Yellow, Entry
1720447944.820818, 2, Yellow, Entry
1720447945.7059195, 2, Yellow, Entry
1720447947.7862062, 2, Yellow, Entry
1720447948.6330242, 2, Yellow, Entry
1720447949.5182862, 2, Yellow, Entry
1720447950.3666778, 2, Yellow, Entry
1720447951.2214715, 2, Yellow, Entry
1720447952.9788613, 2, Yellow, Entry
1720447957.5851848, 2, Yellow, Entry
1720447958.4957747, 2, Yellow, Entry
1720447969.8088408, 2, Yellow, Entry
1720447970.6566973, 2, Yellow, Entry
1720447971.6366785, 2, Yellow, Entry
1720447972.5532956, 2, Yellow, Entry
1720447977.9009993, 2, Yellow, Entry
1720447979.0839813, 2, Yellow, Entry
1720447981.1701908, 2, Yellow, Entry
1720447984.9361336, 2, Yellow, Entry
1720447985.7996135, 2, Yellow, Entry
1720447986.7414284, 2, Yellow, Entry
1720447989.5505493, 2, Yellow, Entry
1720447990.4446285, 2, Yellow, Entry
1720447991.355019, 2, Yellow, Entry
1720447994.1735864, 2, Yellow, Entry
1720447995.0837057, 2, Yellow, Entry
1720447995.9783144, 2, Yellow, Entry
1720447996.872636, 2, Yellow, Entry
1720447999.77657, 2, Yellow, Entry
1720448001.9739895, 2, Yellow, Entry
1720448004.0211823, 2, Yellow, Entry
1720448006.4377296, 2, Yellow, Entry
1720448009.2831688, 2, Yellow, Entry
1720448010.5597742, 2, Yellow, Entry
1720448013.7925541, 2, Yellow, Entry
1720448020.434045, 2, Yellow, Entry
1720448024.906845, 2, Yellow, Entry
1720448025.8400128, 2, Yellow, Entry
1720448026.7193065, 2, Yellow, Entry
1720448027.6141405, 2, Yellow, Entry
1720448028.556085, 2, Yellow, Entry
1720448031.3025942, 2, Yellow, Entry
1720448034.8497882, 2, Yellow, Entry
1720448035.743632, 2, Yellow, Entry
1720448036.6060538, 2, Yellow, Entry
1720448037.5154672, 2, Yellow, Entry
1720448040.294689, 2, Yellow, Entry
1720448046.0330036, 2, Yellow, Entry
1720448047.2828975, 2, Yellow, Entry
1720448048.372714, 2, Yellow, Entry
1720448052.3725348, 2, Yellow, Entry
1720448055.0973687, 2, Yellow, Entry
